Timestamp,What is your age? ,  What is your current occupational status?  ," How often do you use text-based AI tools (like ChatGPT, Claude, Gemini)?  ",Mental Effort [Text Chat]: I had to work hard (mentally) to formulate my request and find the needed information.,"Frustration Level [Text Chat]: I felt stressed, irritated, or confused while interacting with this interface.","Visual Clarity [Text Chat]: The search results were presented clearly, and I didn't have to struggle to extract the specific numbers or facts from the text",Time Taken [Text Chat]: Please enter the exact time you spent completing the task using the standard text AI,Mental Effort [Generative UI]: I had to work hard (mentally) to formulate my request and find the needed information,"Frustration Level [Generative UI]: I felt stressed, irritated, or confused while interacting with this interface","Visual Clarity [Generative UI]: The search results were presented clearly, and I didn't have to struggle to extract the specific numbers or facts from the text",Time Taken [Generative UI]: Please enter the exact time you spent completing the task using the AyaAI Prototype,Which interface did you find more intuitive and efficient for solving this task?,Why did you choose this variant? Please briefly explain your choice.
02.07.2026 13:15:20,18-22,Employed,Rarely,Disagree,Disagree,Neutral,3 min i tkink,Strongly Agree,Strongly Agree,Disagree,1:02sec,Generative UI with interactive widgets,Reading big blocks of text makes me lose focus. The cards in B were perfect
02.07.2026 14:33:05,Under 18,Employed,Rarely,Agree,Agree,Agree,"2,49",Disagree,Disagree,Strongly Agree,51see,Generative UI with interactive widgets,No need to type
02.07.2026 16:45:11,18-22,School Student,Every day,Disagree,Disagree,Strongly Agree,3 min and 32 sec,Strongly Disagree,Disagree,Agree,44 sec,Generative UI with interactive widgets,100% variant b
02.07.2026 18:02:22,18-22,Other,A few times a week,Agree,Disagree,Agree,"2,11",Disagree,Disagree,Strongly Agree,1 minute ,Standard Text Chat,I prefer writing my own prompts because I feel I have more control over the output
02.07.2026 19:15:34,Over 27,Employed,Rarely,Agree,Agree,Agree,4 minutes ,Disagree,Disagree,Agree,1 minute and 30 seconds. ,Standard Text Chat,"With text, I can ask follow-up questions immediately. Widgets feel too restrictive"
02.07.2026 20:28:41,18-22,Bachelor's Student,Rarely,Agree,Agree,Agree,2min,Disagree,Disagree,Agree,1 minute ,Generative UI with interactive widgets,Generative UI is definitely the future. It eliminates prompt engineering anxiety
02.07.2026 21:35:09,23-27,Other,A few times a week,Neutral,Neutral,Neutral,3:37,Disagree,Disagree,Agree,49 sec,Generative UI with interactive widgets,Generative UI is definitely the future. It eliminates prompt engineering anxiety
03.07.2026 10:10:15,Under 18,School Student,Every day,Disagree,Disagree,Agree,4:07,Neutral,Neutral,Strongly Agree,33,Generative UI with interactive widgets,Faster
03.07.2026 11:22:50,Under 18,Other,Every day,Agree,Agree,Agree,2:56,Disagree,Strongly Disagree,Strongly Agree,37,Generative UI with interactive widgets,Less typing
03.07.2026 13:45:33,Under 18,School Student,A few times a week,Agree,Agree,Neutral,Firstly I didnt even notice indtuction 3:21,Disagree,Disagree,Strongly Agree,45,Generative UI with interactive widgets,Easy to useE
03.07.2026 15:05:12,Under 18,School Student,Every day,Agree,Agree,Agree,"2,39",Disagree,Disagree,Strongly Agree,54,Generative UI with interactive widgets,Took me like 10 seconds
03.07.2026 17:18:40,23-27,Employed,Almost never,Agree,Neutral,Agree,4-23,Agree,Agree,Agree,1 min,Standard Text Chat,With textI can ask followup question immediately
03.07.2026 19:30:25,Over 27,Employed,A few times a week,Agree,Agree,Agree,3 minutes and 14 seconds ,Agree,Agree,Neutral,1 minute and 12 seconds ,Standard Text Chat,I am good at prompt engineering so the first one was actually faster for me
03.07.2026 21:05:14,Over 27,Bachelor's Student,Rarely,Agree,Neutral,Neutral,2 min and 37 ,Strongly Disagree,Strongly Disagree,Strongly Agree,49 sec,Generative UI with interactive widgets,way less cognitive load
04.07.2026 12:15:44,Over 27,Employed,A few times a week,Agree,Strongly Disagree,Strongly Agree,"2,38",Disagree,Agree,Agree,44,Generative UI with interactive widgets,Great data visualization. Having the budget on a slider made adjusting criteria seamless
04.07.2026 14:40:10,23-27,Employed,A few times a week,Disagree,Disagree,Neutral,3 min 22,Disagree,Neutral,Agree,55,Generative UI with interactive widgets,Great data visualization. Having the budget on a slider made adjusting criteria seamless
04.07.2026 16:12:05,18-22,Bachelor's Student,Every day,Disagree,Disagree,Neutral,186 sec,Strongly Disagree,Strongly Disagree,Neutral,63 sec,Generative UI with interactive widgets,OMG the second one is a lifesaver!!! So much less stress
04.07.2026 19:45:22,18-22,Bachelor's Student,Every day,Disagree,Agree,Disagree,2 mins 20,Neutral,Neutral,Agree,38,Generative UI with interactive widgets,Oooh I like the profile page… Chatbots always give too much useless text before answering the actual question. B is straight to the point
04.07.2026 22:12:15,Under 18,School Student,A few times a week,Agree,Strongly Disagree,Agree,"2,13",Neutral,Strongly Disagree,Strongly Agree,33,Generative UI with interactive widgets,Text chat made my brain hurt trying to remember all the criteria from the scenario🥲
05.07.2026 11:35:40,Under 18,School Student,Every day,Agree,Agree,Agree,"I feel like 2,5 min",Disagree,Disagree,Strongly Agree,Like 30 sec,Generative UI with interactive widgets,Visuals were clearer👍🏻
05.07.2026 14:05:11,Under 18,School Student,Every day,Agree,Agree,Strongly Agree,"2,55",Disagree,Strongly Disagree,Agree,45,Generative UI with interactive widgets,easier
05.07.2026 17:18:25,Over 27,Employed,Almost never,Strongly Agree,Strongly Agree,Neutral,3:46,Strongly Disagree,Disagree,Agree,1:37,Generative UI with interactive widgets,"In Variant A, I had to double-check if the bot missed any of my 5 conditions. Variant B enforced them by design"
05.07.2026 20:45:30,18-22,Employed,Every day,Disagree,Strongly Disagree,Disagree,"2,49",Strongly Disagree,Strongly Disagree,Strongly Agree,49,Generative UI with interactive widgets,It organized the unstructured data into a structured format. I appreciated not having to read through conversational filler
06.07.2026 09:20:14,Over 27,Master's Student,A few times a week,Agree,Agree,Neutral,2:03,Disagree,Neutral,Agree,59,Generative UI with interactive widgets,The cognitive effort required to synthesize a prompt from a scenario is much higher than simply recognizing options on a screen
06.07.2026 10:05:45,Under 18,School Student,A few times a week,Strongly Agree,Strongly Agree,Disagree,2:18,Disagree,Strongly Disagree,Strongly Agree,37,Generative UI with interactive widgets,Saved my timeeeeeeee 
06.07.2026 12:15:22,Under 18,School Student,A few times a week,Agree,Strongly Disagree,Neutral,"2,37",Neutral,Disagree,Disagree,71 sec,Generative UI with interactive widgets, quicker to find🫪
06.07.2026 14:35:10,18-22,Bachelor's Student,Every day,Strongly Disagree,Strongly Disagree,Strongly Agree,3:29,Disagree,Disagree,Strongly Disagree,43 sec,Standard Text Chat,text chat is more flexible if I decide to change my mind completel
06.07.2026 16:10:05,Over 27,Employed,Rarely,Strongly Disagree,Strongly Disagree,Strongly Agree,3 min 20 sec,Strongly Agree,Strongly Agree,Strongly Disagree,2 min 17 sec,Standard Text Chat,"Honestly, Variant A is better for complex queries that don't fit neatly into predefined boxes"
06.07.2026 18:45:33,18-22,Bachelor's Student,Every day,Agree,Strongly Disagree,Disagree,3:07,Disagree,Neutral,Agree,56,Generative UI with interactive widgets,The visual hierarchy allowed me to scan the information rather than read it
06.07.2026 20:20:15,23-27,Employed,A few times a week,Agree,Strongly Disagree,Neutral,4 min ,Disagree,Strongly Disagree,Agree,48,Generative UI with interactive widgets,"Clean interface, minimal friction"
07.07.2026 09:05:44,18-22,Employed,Every day,Agree,Neutral,Neutral,3 min 3,Disagree,Agree,Strongly Agree,1 min 7 secondd ,Generative UI with interactive widgets,"I'm on my phone, so tapping sliders is way better than using the keyboard"
07.07.2026 11:30:22,Under 18,School Student,Rarely,Strongly Disagree,Strongly Disagree,Strongly Disagree,I think 3 min,Strongly Agree,Agree,Strongly Agree,Roundly 30,Generative UI with interactive widgets,"My brain is fried after classes, B was exactly what I needed"
07.07.2026 13:15:10,Under 18,School Student,Every day,Agree,Agree,Agree,2:31,Neutral,Strongly Disagree,Strongly Agree,52,Generative UI with interactive widgets,Looks prettier tbh. The green color scheme is niche 
07.07.2026 15:45:05,18-22,Bachelor's Student,A few times a week,Agree,Neutral,Disagree,3 min 09 seconds ,Disagree,Disagree,Agree,43,Generative UI with interactive widgets,it felt like a game instead of a boring test
07.07.2026 18:20:33,18-22,Master's Student,A few times a week,Disagree,Strongly Disagree,Strongly Disagree,4 minutes 02 seconds ,Neutral,Neutral,Strongly Disagree,1 minute 08 seconds ,Generative UI with interactive widgets,Good design. Fast.
07.07.2026 20:05:15,18-22,Bachelor's Student,Rarely,Neutral,Disagree,Agree,3:19,Strongly Agree,Strongly Agree,Strongly Disagree,.,Standard Text Chat,I feel like Ai stupid
08.07.2026 10:15:44,18-22,Employed,A few times a week,Agree,Agree,Neutral,2 minutes 49,Disagree,Disagree,Agree,56 s,Generative UI with interactive widgets,Because the sliders let me play around with the budget easily to see more Tokyo uni options
08.07.2026 12:30:22,18-22,Bachelor's Student,A few times a week,Agree,Agree,Disagree,3 min 01 sec,Disagree,Disagree,Strongly Agree,53 sec,Generative UI with interactive widgets,Japan🕺🏻💗
08.07.2026 15:10:10,18-22,Bachelor's Student,A few times a week,Agree,Agree,Strongly Disagree,"5,25",Disagree,Disagree,Agree,2 minutes ,Generative UI with interactive widgets,"I took me so long (1 task), I rereaded so many times. I am sorry🙏🏻"
08.07.2026 17:45:05,18-22,Bachelor's Student,Rarely,Agree,Agree,Neutral,"3,55",Agree,Agree,Strongly Disagree,45 s,Generative UI with interactive widgets,"Finding English programs in Japan is hard, the filters made it super obvious without me having to specify it in text"
08.07.2026 19:20:33,Under 18,School Student,A few times a week,Agree,Neutral,Neutral,4 minuta ,Disagree,Strongly Disagree,Agree,1 minuta ,Generative UI with interactive widgets,fast
08.07.2026 21:05:15,18-22,Bachelor's Student,A few times a week,Agree,Agree,Agree,"3,48",Strongly Disagree,Disagree,Agree,34,Generative UI with interactive widgets,less reading
09.07.2026 09:30:22,18-22,Bachelor's Student,Every day,Neutral,Strongly Agree,Disagree,3 min 15 sec,Disagree,Disagree,Disagree,46 sec ,Generative UI with interactive widgets,so much faster
09.07.2026 11:15:10,18-22,Bachelor's Student,Rarely,Disagree,Disagree,Agree,4min 22,Strongly Agree,Strongly Agree,Strongly Disagree,3 minutes ,Standard Text Chat,honestly variant A gives me more freedo
09.07.2026 14:05:05,18-22,Bachelor's Student,A few times a week,Neutral,Neutral,Strongly Disagree,3 minutes ,Disagree,Disagree,Agree,43 s,Generative UI with interactive widgets,B is quicker
09.07.2026 16:45:33,18-22,Other,A few times a week,Agree,Agree,Disagree,6 minutes because I didnt understand the task twin ,Strongly Disagree,Neutral,Agree,1 min 07,Generative UI with interactive widgets,nice design twiin😘
09.07.2026 18:30:15,18-22,Bachelor's Student,A few times a week,Agree,Strongly Agree,Disagree,2:49,Strongly Disagree,Agree,Agree,39,Generative UI with interactive widgets,no typing required
09.07.2026 20:20:44,18-22,Bachelor's Student,A few times a week,Agree,Agree,Strongly Disagree,194 seconds lol,Neutral,Neutral,Strongly Agree,54 seconds ,Generative UI with interactive widgets,B just makes sense
10.07.2026 10:15:22,18-22,School Student,Rarely,Agree,Agree,Disagree,"3,38",Disagree,Neutral,Strongly Agree,48,Generative UI with interactive widgets,saved time
10.07.2026 12:05:10,18-22,Employed,Almost never,Strongly Agree,Strongly Agree,Agree,5(13),Strongly Disagree,Strongly Disagree,Agree,1(19sec),Generative UI with interactive widgets,I liked seeing the GPA match percentage directly on the cards
10.07.2026 15:30:05,18-22,Bachelor's Student,Every day,Disagree,Disagree,Disagree,4 mins 19 sec,Disagree,Disagree,Neutral,49 secs,Generative UI with interactive widgets,chatgpt talks too much. B is better
10.07.2026 17:45:33,18-22,Employed,Rarely,Agree,Agree,Strongly Disagree,4 minutes and 33 seconds. ,Strongly Disagree,Strongly Disagree,Strongly Agree,28 seconds!,Generative UI with interactive widgets, I choose B because it is more clear to see price and university name
10.07.2026 19:20:15,23-27,Employed,A few times a week,Strongly Disagree,Strongly Disagree,Strongly Agree,4:10,Agree,Strongly Agree,Strongly Disagree,50,Standard Text Chat,text chat is just what im used to sorry 
10.07.2026 21:10:44,Under 18,School Student,Every day,Agree,Agree,Disagree,3:33,Disagree,Disagree,Agree,44 s,Generative UI with interactive widgets,sliders are fun
11.07.2026 11:45:22,23-27,Employed,Rarely,Agree,Strongly Disagree,Strongly Agree,2:58,Neutral,Neutral,Strongly Agree,38 s,Generative UI with interactive widgets,Text chat give too much words. B give only what I need
11.07.2026 13:30:10,18-22,Bachelor's Student,Every day,Strongly Disagree,Strongly Disagree,Strongly Agree,4 m-02,Strongly Agree,Strongly Agree,Disagree,34 s,Standard Text Chat,i like typing out exactly what i want. widgets feel limited
11.07.2026 16:15:05,18-22,Bachelor's Student,Rarely,Agree,Strongly Disagree,Neutral,3:46,Disagree,Disagree,Agree,49,Generative UI with interactive widgets,straight to the point❤️
11.07.2026 18:50:33,Under 18,School Student,A few times a week,Disagree,Agree,Agree,"2,41",Disagree,Disagree,Agree,51 s,Generative UI with interactive widgets,waaay better than chat
11.07.2026 20:25:15,18-22,Bachelor's Student,Rarely,Agree,Agree,Disagree,2:15,Disagree,Disagree,Strongly Agree,29 seco,Generative UI with interactive widgets,idc I just clicked faster on B
11.07.2026 22:10:44,18-22,Employed,A few times a week,Agree,Agree,Agree,3:27,Disagree,Strongly Disagree,Neutral,38s,Generative UI with interactive widgets,"It felt like a real university search engine, not just a random chat🫡🫡"
12.07.2026 10:05:22,Under 18,Employed,Rarely,Neutral,Neutral,Neutral,4;28,Neutral,Neutral,Neutral,1;17,Generative UI with interactive widgets,clear infoo 
12.07.2026 12:30:10,18-22,Bachelor's Student,Every day,Agree,Agree,Agree,2:43,Disagree,Strongly Disagree,Strongly Agree,34 s,Generative UI with interactive widgets,FILTERS filters worked greatT
12.07.2026 14:15:05,Under 18,School Student,A few times a week,Disagree,Disagree,Strongly Agree,2:33,Strongly Agree,Strongly Agree,Strongly Disagree,2 min,Standard Text Chat,i like typing out exactly what i want. widgets feel limited
12.07.2026 16:45:33,23-27,Employed,Almost never,Strongly Disagree,Strongly Disagree,Agree,4 m:15 sec,Strongly Agree,Strongly Agree,Strongly Disagree,53 sec,Standard Text Chat,Variant A. UI was a bit confusing to me🙏🏻 
12.07.2026 18:20:15,Under 18,Employed,Rarely,Agree,Agree,Disagree,4m01s,Agree,Agree,Disagree,34s,Generative UI with interactive widgets,A gave me a headache. B is chill
12.07.2026 19:10:44,Under 18,Bachelor's Student,A few times a week,Agree,Agree,Disagree,3:44,Disagree,Disagree,Agree,56,Generative UI with interactive widgets,visually appealing ;)
12.07.2026 20:45:22,18-22,Employed,Rarely,Agree,Agree,Disagree,4:27,Agree,Agree,Disagree,1:33,Standard Text Chat,ChatGPT is smarter. I trust it more than sliders
12.07.2026 21:15:10,Over 27,Employed,Rarely,Disagree,Disagree,Strongly Agree,I forgot🫪,Disagree,Agree,Agree,23,Generative UI with interactive widgets,sliders >>> text Slaaay
13.07.2026 09:22:05,18-22,Employed,A few times a week,Agree,Strongly Disagree,Strongly Disagree,"3,11",Disagree,Strongly Disagree,Neutral,46,Generative UI with interactive widgets,i hate writing prompts
13.07.2026 10:35:33,Over 27,Employed,Almost never,Neutral,Neutral,Neutral,4:05,Neutral,Neutral,Neutral,45,Generative UI with interactive widgets,B because it did the work for me!!
13.07.2026 11:10:15,23-27,Other,Every day,Strongly Agree,Disagree,Strongly Disagree,2:33,Disagree,Disagree,Agree,42,Generative UI with interactive widgets,"Very fast, I like it so much👍🏻"
13.07.2026 12:45:44,Under 18,Bachelor's Student,A few times a week,Disagree,Disagree,Disagree,2:78,Disagree,Disagree,Agree,49,Generative UI with interactive widgets,"finding price was easy, that’s very big problem foor me omggg "
13.07.2026 14:20:22,23-27,Master's Student,Rarely,Neutral,Neutral,Neutral,4:19,Disagree,Disagree,Agree,53,Generative UI with interactive widgets,10000/10✅
13.07.2026 15:05:10,Over 27,Bachelor's Student,Almost never,Agree,Agree,Agree,5:36,Strongly Disagree,Neutral,Strongly Agree,1:45,Standard Text Chat,variant A because i can ask follow up questions about Japan
13.07.2026 16:30:18,Over 27,Other,A few times a week,Disagree,Disagree,Disagree,4 minutes ,Agree,Agree,Disagree,2 minutes ,Standard Text Chat,I prefer standard chat bots
13.07.2026 17:15:42,18-22,School Student,A few times a week,Disagree,Disagree,Disagree,4:07,Disagree,Agree,Disagree,38,Generative UI with interactive widgets,took like 20 second
13/07/2026 19:55:12,Under 18,School Student,Every day,Disagree,Disagree,Disagree,6:23,Disagree,Agree,Disagree,2 min,Generative UI with interactive widgets,"It is lookk soo good, visual UI😅❤️ andsearching English in Japan is hard"
